customer_id,signup_date,age,gender,annual_income,education,marital_status,dependents,tenure,contract,payment_method,paperless_billing,senior_citizen,monthlycharges,totalcharges,num_services,has_phone_service,has_internet_service,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,customer_satisfaction,num_complaints,num_service_calls,late_payments,avg_monthly_gb,days_since_last_interaction,credit_score,churn
CUST0000479674,54:03.3,27,Male,34561.22,high_school,divorced,0,14,two_year,bank_transfer,Yes,0,91.84,1276.36,1,1,1,0,0,0,1,1,0,7,0,2,1,312.83,85,728,0
CUST0000033664,53:58.4,42,Male,53670.15,high_school,married,0,37,one_year,mailed_check,Yes,0,91.96,3626.49,2,1,1,0,1,0,1,1,1,6,3,1,0,17.1,11,666,0
CUST0000185545,53:59.8,36,Female,66047.33,bachelor,married,2,12,two_year,bank_transfer,Yes,0,81.15,679.24,3,0,1,1,1,0,1,1,1,9,1,1,1,59.13,5,813,0
CUST0000147929,53:59.6,43,Male,42974.17,phd,divorced,3,4,two_year,electronic_check,Yes,0,106.79,443.05,4,1,1,0,1,1,1,0,0,5,0,0,0,19.68,30,612,0
CUST0000014058,53:58.3,62,Female,75356.89,college,married,0,13,two_year,credit_card,Yes,1,79.85,1007.09,1,1,1,0,1,0,0,1,1,3,0,1,1,32.4,85,411,0
CUST0000014516,53:58.3,48,Male,64989.69,phd,divorced,0,21,one_year,bank_transfer,Yes,0,82.61,1878.99,1,1,1,0,1,0,0,1,0,5,0,3,1,68.86,52,848,1
CUST0000031421,53:58.4,58,Female,34063.92,high_school,widowed,0,31,two_year,credit_card,Yes,0,82.54,2319.11,2,1,1,0,1,0,1,1,0,7,1,8,1,38.9,25,716,0
CUST0000244621,54:00.8,30,Male,58943.09,college,married,0,5,one_year,electronic_check,Yes,0,99.3,510.02,2,0,1,0,0,0,1,0,1,2,1,0,1,40.04,44,593,0
CUST0000585657,54:04.5,52,Male,20000,bachelor,single,0,39,one_year,mailed_check,No,0,122.81,5026.25,5,1,1,0,0,1,0,1,1,9,1,5,0,25.01,74,582,0
CUST0000331704,54:01.9,68,Male,24814.81,master,widowed,0,72,two_year,credit_card,No,1,90.75,6021.08,1,1,1,1,0,0,0,0,1,9,0,0,0,,1,726,0
CUST0000613559,54:05.3,29,Female,88034.46,high_school,married,1,3,one_year,credit_card,Yes,0,89.03,168.79,4,0,1,0,0,0,0,0,0,9,0,1,0,60.65,3,805,0
CUST0000559838,54:04.4,38,Male,38850.5,high_school,single,1,33,two_year,bank_transfer,Yes,1,116.37,4173.74,4,0,1,0,0,0,1,0,1,3,0,1,1,41.86,4,758,0
CUST0000654727,54:05.6,69,Female,48432.01,high_school,divorced,0,28,one_year,credit_card,No,0,88.52,2428.11,3,1,1,1,1,0,1,1,0,1,1,3,0,12.84,1,614,0
