move_in_date,move_out_date,rent,bed_type,move_out_reason,house_id,profile_id,ID
12-02-2015,30-04-2016,7500,bed,MOVE_OUT,5,1,1
05-06-2015,NULL,11000,room,,2,2,2
28-10-2015,28-11-2016,12000,room,RENT_CHANGE,4,3,3
26-04-2015,NULL,8000,bed,,1,4,4
15-05-2015,27-12-2015,9000,bed,MOVE_OUT,3,5,5
25-12-2015,NULL,10200,room,,8,6,6
20-11-2015,NULL,6500,bed,,6,7,7
10-11-2015,31-12-2016,7200,bed,MOVE_OUT,7,8,8
15-10-2015,NULL,7500,bed,,9,9,9
20-06-2015,NULL,7500,bed,,10,10,10
29-08-2015,14-06-2016,8000,bed,INTERNAL_TRANSFER,19,11,11
24-02-2015,NULL,11000,room,,15,12,12
25-02-2015,NULL,12000,room,,12,13,13
07-01-2016,30-12-2016,13500,room,MOVE_OUT,18,14,14
07-04-2015,NULL,6500,bed,,13,15,15
23-04-2015,NULL,6500,bed,,17,16,16
10-02-2015,NULL,10500,room,,14,17,17
16-10-2015,04-09-2016,8000,bed,MOVE_OUT,16,18,18
26-09-2015,NULL,7500,bed,,20,19,19
30-09-2015,NULL,9500,bed,,11,20,20
